,name,R,G,B
0,wall,120,120,120
1,building;edifice,180,120,120
2,sky,6,230,230
3,floor;flooring,80,50,50
4,tree,4,200,3
5,ceiling,120,120,80
6,road;route,140,140,140
7,bed,204,5,255
8,windowpane;window,230,230,230
9,grass,4,250,7
10,cabinet,224,5,255
11,sidewalk;pavement,235,255,7
12,person;individual;someone;somebody;mortal;soul,150,5,61
13,earth;ground,120,120,70
14,door;double;door,8,255,51
15,table,255,6,82
16,mountain;mount,143,255,140
17,plant;flora;plant;life,204,255,4
18,curtain;drape;drapery;mantle;pall,255,51,7
19,chair,204,70,3
20,car;auto;automobile;machine;motorcar,0,102,200
21,water,61,230,250
22,painting;picture,255,6,51
23,sofa;couch;lounge,11,102,255
24,shelf,255,7,71
25,house,255,9,224
26,sea,9,7,230
27,mirror,220,220,220
28,rug;carpet;carpeting,255,9,92
29,field,112,9,255
30,armchair,8,255,214
31,seat,7,255,224
32,fence;fencing,255,184,6
33,desk,10,255,71
34,rock;stone,255,41,10
35,wardrobe;closet;press,7,255,255
36,lamp,224,255,8
37,bathtub;bathing;tub;bath;tub,102,8,255
38,railing;rail,255,61,6
39,cushion,255,194,7
40,base;pedestal;stand,255,122,8
41,box,0,255,20
42,column;pillar,255,8,41
43,signboard;sign,255,5,153
44,chest;of;drawers;chest;bureau;dresser,6,51,255
45,counter,235,12,255
46,sand,160,150,20
47,sink,0,163,255
48,skyscraper,140,140,140
49,fireplace;hearth;open;fireplace,250,10,15
50,refrigerator;icebox,20,255,0
51,grandstand;covered;stand,31,255,0
52,path,255,31,0
53,stairs;steps,255,224,0
54,runway,153,255,0
55,case;display;case;showcase;vitrine,0,0,255
56,pool;table;billiard;table;snooker;table,255,71,0
57,pillow,0,235,255
58,screen;door;screen,0,173,255
59,stairway;staircase,31,0,255
60,river,11,200,200
61,bridge;span,255,82,0
62,bookcase,0,255,245
63,blind;screen,0,61,255
64,coffee;table;cocktail;table,0,255,112
65,toilet;can;commode;crapper;pot;potty;stool;throne,0,255,133
66,flower,255,0,0
67,book,255,163,0
68,hill,255,102,0
69,bench,194,255,0
70,countertop,0,143,255
71,stove;kitchen;stove;range;kitchen;range;cooking;stove,51,255,0
72,palm;palm;tree,0,82,255
73,kitchen;island,0,255,41
74,computer;computing;machine;computing;device;data;processor;electronic;computer;information;processing;system,0,255,173
75,swivel;chair,10,0,255
76,boat,173,255,0
77,bar,0,255,153
78,arcade;machine,255,92,0
79,hovel;hut;hutch;shack;shanty,255,0,255
80,bus;autobus;coach;charabanc;double-decker;jitney;motorbus;motorcoach;omnibus;passenger;vehicle,255,0,245
81,towel,255,0,102
82,light;light;source,255,173,0
83,truck;motortruck,255,0,20
84,tower,255,184,184
85,chandelier;pendant;pendent,0,31,255
86,awning;sunshade;sunblind,0,255,61
87,streetlight;street;lamp,0,71,255
88,booth;cubicle;stall;kiosk,255,0,204
89,television;television;receiver;television;set;tv;tv;set;idiot;box;boob;tube;telly;goggle;box,0,255,194
90,airplane;aeroplane;plane,0,255,82
91,dirt;track,0,10,255
92,apparel;wearing;apparel;dress;clothes,0,112,255
93,pole,51,0,255
94,land;ground;soil,0,194,255
95,bannister;banister;balustrade;balusters;handrail,0,122,255
96,escalator;moving;staircase;moving;stairway,0,255,163
97,ottoman;pouf;pouffe;puff;hassock,255,153,0
98,bottle,0,255,10
99,buffet;counter;sideboard,255,112,0
100,poster;posting;placard;notice;bill;card,143,255,0
101,stage,82,0,255
102,van,163,255,0
103,ship,255,235,0
104,fountain,8,184,170
105,conveyer;belt;conveyor;belt;conveyer;conveyor;transporter,133,0,255
106,canopy,0,255,92
107,washer;automatic;washer;washing;machine,184,0,255
108,plaything;toy,255,0,31
109,swimming;pool;swimming;bath;natatorium,0,184,255
110,stool,0,214,255
111,barrel;cask,255,0,112
112,basket;handbasket,92,255,0
113,waterfall;falls,0,224,255
114,tent;collapsible;shelter,112,224,255
115,bag,70,184,160
116,minibike;motorbike,163,0,255
117,cradle,153,0,255
118,oven,71,255,0
119,ball,255,0,163
120,food;solid;food,255,204,0
121,step;stair,255,0,143
122,tank;storage;tank,0,255,235
123,trade;name;brand;name;brand;marque,133,255,0
124,microwave;microwave;oven,255,0,235
125,pot;flowerpot,245,0,255
126,animal;animate;being;beast;brute;creature;fauna,255,0,122
127,bicycle;bike;wheel;cycle,255,245,0
128,lake,10,190,212
129,dishwasher;dish;washer;dishwashing;machine,214,255,0
130,screen;silver;screen;projection;screen,0,204,255
131,blanket;cover,20,0,255
132,sculpture,255,255,0
133,hood;exhaust;hood,0,153,255
134,sconce,0,41,255
135,vase,0,255,204
136,traffic;light;traffic;signal;stoplight,41,0,255
137,tray,41,255,0
138,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,173,0,255
139,fan,0,245,255
140,pier;wharf;wharfage;dock,71,0,255
141,crt;screen,122,0,255
142,plate,0,255,184
143,monitor;monitoring;device,0,92,255
144,bulletin;board;notice;board,184,255,0
145,shower,0,133,255
146,radiator,255,214,0
147,glass;drinking;glass,25,194,194
148,clock,102,255,0
149,flag,92,0,255
